2026-03-14 20:23:51,364 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | TEXTS
2026-03-14 20:23:52,193 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | MEASURES
2026-03-14 20:23:52,197 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]                 Page.java:307  | 14 raw measures: [5 in system#1, 5 in system#2, 4 in system#3]
2026-03-14 20:23:52,197 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | CHORDS
2026-03-14 20:23:52,205 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | CURVES
2026-03-14 20:23:52,973 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]         SlursBuilder.java:240  | Slurs: 8
2026-03-14 20:23:52,983 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]      SegmentsBuilder.java:155  | Segments: 11
2026-03-14 20:23:52,990 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | SYMBOLS
2026-03-14 20:23:53,470 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | LINKS
2026-03-14 20:23:53,485 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]        SentenceInter.java:463  | No chord near SentenceInter#2932{(0.617) staff:5 mFont:IS-47 Direction} — —
2026-03-14 20:23:53,486 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]        SentenceInter.java:463  | No chord near SentenceInter#2938{(0.630) staff:5 mFont:IS-48 Direction} — —
2026-03-14 20:23:53,500 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | RHYTHMS
2026-03-14 20:23:53,501 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]           PageRhythm.java:205  | {Page#2.1} Time value not yet available in sheet#1
2026-03-14 20:23:53,541 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#2]       StepMonitoring.java:98   | PAGE
